name,mz,rt,adduct,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M329T900,329.030597576901,900.4055,[M-H2O-H]-,59779.296,62028.5195833333,58641.9407499999,52785.8724000001
M330T754,330.060164459581,753.9535,[M-H]-,16965.9673703704,20423.5384615385,22077.0017037037,20896.351
M331T149,331.118311169298,148.985,[M+CH3COO]-,46084.2401052631,47923.1976907895,51743.0322857143,27989.29085
M331T75,331.24732251576,75.1895,[M+CH3COO]-,722.553333333333,1306.574,1461.12,1962.23416666667
M333T848,333.049170325947,847.5305,[M-H]-,15741.6678857143,23704.3466470589,21849.471,23818.85
M335T834,334.958968022777,834.166,[2M-H]-,311892.548842105,454947.948000001,531254.609526314,526787.999181819
M338T865,338.001775206713,864.854,[M+K-2H]-,2273.0992,2417.4435,2214.3749047619,2936.29127272728
M338T844,338.066163714131,844.0185,M-,7723.8685652174,8738.8845,9461.48072727272,9100.55066666666
M339T780,338.989334967043,780.4525,[M-H]-,98089.0938181821,165659.415,210016.9505,188973.8955
M339T939,338.988954021725,938.6475,[M-H]-,43066.5864102564,75288.3258518517,91224.8559999999,97859.9808461539
M340T220,340.126616376861,219.6105,[M+CH3COO]-,151972.107055556,137190.946533333,155815.611347826,154906.162675
M340T154,340.125986671032,153.6645,[M+CH3COO]-,55868.151375,43306.6822727273,28768.4188571428,62306.17636
M340T177,340.126137910211,176.69,[M+CH3COO]-,77893.7703703703,75618.2485,67285.57,86855.4294814814
M341T651,341.110473361286,651.23,[M-H]-,339665.977636364,375028.636500001,354070.624409092,447208.5789
M343T906,343.063268982172,905.621,[M-H]-,31415.8609090909,41615.209744186,47042.0305208334,45948.21744
M344T742,344.034754404594,741.755,[M+Na-2H]-,2141.09596363637,1975.75111111111,2242.75610526316,2157.68421052631
M345T798,345.010234305816,797.5755,[M+Na-2H]-,6911.51931428572,4297.8817826087,4402.84920833334,4672.6455
M345T775,345.008123778988,774.7025,[M+Na-2H]-,3498.81027777778,2068.74466666666,5318.86399999998,1911.57411111111
M346T775,346.055598782922,775.3075,[M-H]-,21242.6093076923,27363.40624,27215.87616,28507.3314166667
M346T815,346.055720999865,815.0705,[M-H]-,16087.032,21811.3035517242,21719.81140625,23481.2818333333
M347T812,347.040433535218,812.246,[M-H]-,131251.5368,197021.54148,189760.479083333,196125.41875
M347T812,347.040433535218,812.246,[M+K-2H]-,131251.5368,197021.54148,189760.479083333,196125.41875
M348T813,348.042439323456,812.7605,M-,17106.88972,24053.6094,22818.7434999999,23837.45088
M350T491,350.027646560577,491.249,[M+Na-2H]-,910.155000000001,1098.12978947368,1483.114,1032.477875
M351T144,351.131075733818,143.68,[2M-H]-,41713.5405,32136.032,30788.64,54081.3738510638
