name,mz,rt,X200STD_amide23_24DDA100.700_neg01,X200STD_amide23_24DDA100.700_neg02,X200STD_amide23_24DDA100.700_neg03,X200STD_amide23_24DDA100.700_neg04
M537T736,537.101046369654,735.6445,4958.52858695652,6973.70859322034,5249.52560714285,7476.79280769231
M537T652,537.157762946414,651.7365,1828.08245454546,2556.07363636364,2052.08563636362,2261.85139999998
M538T780,538.100198753089,779.989,4866.60796875001,7139.05866666666,7371.26125619835,3559.16701408451
M538T77,538.337927520926,77.384,813.225714285714,830.468,867.866666666667,918.207642857143
M539T784,539.095222093877,784.357,2323.44214285715,2534.11344,2577.29955555556,2250.75270967742
M540T850,540.042185052518,850.229,2625.73616666668,3858.5756,3497.46189473683,3952.62066666667
M540T741,540.038260183772,741.0495,513.628882352942,962.850352941179,1591.91977777778,1207.18315789474
M540T804,540.055281225647,804.176,3091.6258125,2857.64956521738,3317.09341935484,3445.16070967742
M540T615,540.083685146326,615.1645,2230.51152,2593.42727272727,2687.95483333333,2667.59727272727
M540T315,540.16780462995,314.855,1824.79192,1999.8715,1925.75788888889,2057.11063636364
M541T942,540.785220447279,941.7585,1399.96875,1918.94668965518,1602.88131818182,1995.08291891892
M541T741,541.034335941046,740.82,1899.03288235295,3194.63260869566,3738.43694444444,4127.2791
M541T77,541.083945912676,76.518,2341.50666666667,1282.542,698.3655,545.8959375
M541T947,541.116127440589,946.8575,2816.26632,2602.92127380952,2746.8504,2531.57221052632
M541T136,541.350576458554,135.891,8319.13780645161,6671.63365217391,7393.423,9280.87695652173
M541T116,541.349389742654,115.892,9935.09131034483,15885.140625,8764.56315,10746.9268148148
M541T949,541.447266546837,949.496,1731.39545098039,1960.92058536586,2098.32331034483,2201.23377981651
M542T1157,541.832719608991,1157.31,405.96,308.533333333329,512.970769230785,414.446153846141
M542T931,541.944151360897,930.7685,2171.19928571428,2645.41696774193,3162.03377777778,3619.23980000001
M542T123,542.006892972828,123.0715,2039.4594375,830.289899999999,3229.97155555556,2975.086625
M542T742,542.03790881899,741.755,747.818322580645,1267.283125,1113.6852,1080.218625
M542T68,542.225969443661,67.744,446.507705882353,1381.17916666667,1646.8936875,1774.1725
M542T267,542.495307179712,267.103,0,1077.84,749.799999999998,911.706000000001
M543T117,543.00373597511,116.821,7246.86660714286,6164.904,5055.35559090909,5079.95935714286
M543T590,543.110110748709,589.744,3999.34166666667,2506.87473913044,2352.98350000001,2778.1721875
M543T281,543.146743041849,281.022,2696.18086956522,964.397636363638,704.789166666665,529.182400000002
M543T267,543.495918478189,266.722,0,1008.72,1035.1245,1150.6365
M544T1142,543.850301102211,1141.915,8778.68571428572,7957.74972972974,5922.49777777779,7171.10068965518
M544T266,544.026337858517,266.013,284.856000000001,1033.56,947.4375,1169.00811111111
M544T322,544.109581011158,322.46,187.248,1209.1159375,1180.53586666667,1397.9928
M544T267,544.492488475324,266.722,0,939.600000000005,1018.4,845.739374999997
M545T1142,544.847942115758,1142.155,12558.344117647,13056.3558620689,8563.48650000007,11850.5367272727
M545T834,544.894784896128,834.3995,1587.11796,2623.69963636364,2780.70578947368,2741.39305263158
M545T913,545.058716690545,912.8415,4906.14625641026,7708.45517647058,8141.81485714286,7640.62844444444
M545T316,545.088586578489,316.04,492.43488,4000.72147826087,3947.59630434783,3577.53355555556
M545T442,545.147714024269,441.6225,1408.38983333333,1157.79095,1550.95690909091,1690.51229411765
M545T478,545.258397206125,478.3005,1331.72,2207.79841666666,1807.53631578947,1404.37790476191
M546T1144,545.847000080921,1143.89,6045.052,4940.16230769231,7390.4312605042,6462.4529032258
M546T266,546.02119053236,266.1775,870.820250000001,997.919999999998,848.41609090909,1035.58838461539
M547T834,546.902987220237,833.669,1558.158,1933.79780000001,2222.95228571428,2395.47765217391
M547T804,547.122200793509,804.346,1325.61000000001,1711.90000000001,1702.07825,1897.94833333333
M547T949,547.131378831846,949.283,1560.951,1950.52382608695,1745.78525,2241.68311666667
M547T73,547.143133910035,73.055,198.2195,3417.71733333333,3433.21363636364,3038.435
M548T1209,547.877700747264,1208.96,696.262325581394,121.54666666666,236.075000000015,663.321428571438
M548T1211,547.882176718425,1210.59,219.596666666674,289.493333333338,311.782727272719,287.293499999999
M548T599,547.98439664635,599.081,489.767,1111.91605263158,1254.10046666667,808.255578947367
M548T899,548.001113358123,898.5455,1279.347,1650.71999999999,1507.77681818182,1291.96765217391
M548T855,548.161996685169,854.723,1692.0057,2319.46010526316,2294.0946,2872.09454545454
M549T1203,548.875732936594,1202.51,714.523076923069,848.824166666655,719.981052631588,620.159999999999
M549T752,549.106926626088,752.131,3513.27692307692,4652.30794736842,4834.87810000003,5305.06600000002
M549T310,549.104017016018,309.631,1998.69211111111,2515.79066666667,2445.12590697674,2376.65218421053
M549T591,549.119471894682,591.015,15505.9444137931,14791.6955409836,17743.8444705882,19925.465
M549T635,549.139297328108,634.6925,8319.86615384616,9930.95741666665,10927.2521538461,11206.36125
M549T863,549.145767759463,863.0745,1221.43316666667,1529.0352,1921.29745454545,1644.771
M549T369,549.197667606291,368.6865,647.631600000002,795.010000000001,713.799999999999,633.764
M550T752,550.108130892434,752.441,837.307153846155,1016.37333333333,987.507444444446,1333.91987500001
